area_type,availability,location,size_bhk,total_sqft,bath,balcony,price,price_per_sqft,availability_grouped
Super built-up  Area,19-Dec,Electronic City Phase II,2.0,1056.0,2.0,1.0,39.07,3699.810606060606,Upcoming
Plot  Area,Ready To Move,Chikka Tirupathi,4.0,2600.0,5.0,3.0,120.0,4615.384615384615,Ready To Move
Built-up  Area,Ready To Move,Uttarahalli,3.0,1440.0,2.0,3.0,62.0,4305.555555555556,Ready To Move
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,1521.0,3.0,1.0,95.0,6245.890861275477,Ready To Move
Super built-up  Area,Ready To Move,Kothanur,2.0,1200.0,2.0,1.0,51.0,4250.0,Ready To Move
Super built-up  Area,Ready To Move,Whitefield,2.0,1170.0,2.0,1.0,38.0,3247.863247863248,Ready To Move
Super built-up  Area,18-May,Old Airport Road,4.0,2732.0,4.0,2.0,204.0,7467.0571010248905,Upcoming
Super built-up  Area,Ready To Move,Rajaji Nagar,4.0,3300.0,4.0,2.0,600.0,18181.81818181818,Ready To Move
Super built-up  Area,Ready To Move,Marathahalli,3.0,1310.0,3.0,1.0,63.25,4828.244274809161,Ready To Move
Super built-up  Area,18-Feb,Whitefield,3.0,1800.0,2.0,2.0,70.0,3888.8888888888887,Upcoming
Plot  Area,Ready To Move,Whitefield,4.0,2785.0,5.0,3.0,295.0,10592.45960502693,Ready To Move
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,1.0,38.0,3800.0,Ready To Move
Built-up  Area,Ready To Move,Gottigere,2.0,1100.0,2.0,2.0,40.0,3636.3636363636365,Ready To Move
Plot  Area,Ready To Move,Sarjapur,3.0,2250.0,3.0,2.0,148.0,6577.777777777777,Ready To Move
Super built-up  Area,Ready To Move,Mysore Road,2.0,1175.0,2.0,2.0,73.5,6255.31914893617,Ready To Move
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,1180.0,3.0,2.0,48.0,4067.7966101694915,Ready To Move
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,1540.0,3.0,3.0,60.0,3896.103896103896,Ready To Move
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3.0,2770.0,4.0,2.0,290.0,10469.314079422382,Ready To Move
Super built-up  Area,Ready To Move,Manayata Tech Park,2.0,1100.0,2.0,2.0,48.0,4363.636363636364,Ready To Move
Built-up  Area,Ready To Move,Kengeri,1.0,600.0,1.0,1.0,15.0,2500.0,Ready To Move
Super built-up  Area,19-Dec,Binny Pete,3.0,1755.0,3.0,1.0,122.0,6951.5669515669515,Upcoming
Plot  Area,Ready To Move,Thanisandra,4.0,2800.0,5.0,2.0,380.0,13571.42857142857,Ready To Move
Super built-up  Area,Ready To Move,Bellandur,3.0,1767.0,3.0,1.0,103.0,5829.088851160159,Ready To Move
Super built-up  Area,18-Nov, Thanisandra,1.0,510.0,1.0,0.0,25.25,4950.980392156863,Upcoming
Super built-up  Area,18-May,Mangammanapalya,3.0,1250.0,3.0,2.0,56.0,4480.0,Upcoming
Super built-up  Area,Ready To Move,Electronic City,2.0,660.0,1.0,1.0,23.1,3500.0,Ready To Move
Built-up  Area,20-Dec,Whitefield,3.0,1610.0,3.0,2.0,81.0,5031.055900621118,Upcoming
Super built-up  Area,17-Oct,Ramagondanahalli,2.0,1151.0,2.0,2.0,48.77,4237.185056472633,Upcoming
Super built-up  Area,Ready To Move,Electronic City,3.0,1025.0,2.0,1.0,47.0,4585.365853658536,Ready To Move
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,1075.0,2.0,1.0,35.0,3255.813953488372,Ready To Move
Super built-up  Area,Ready To Move,Hebbal,3.0,1760.0,2.0,2.0,123.0,6988.636363636364,Ready To Move
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,1693.0,3.0,3.0,57.39,3389.84051978736,Ready To Move
Built-up  Area,Ready To Move,Kasturi Nagar,3.0,1925.0,3.0,2.0,125.0,6493.506493506494,Ready To Move
Super built-up  Area,21-Dec,Kanakpura Road,2.0,700.0,2.0,1.0,36.0,5142.857142857143,Upcoming
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1070.0,2.0,1.0,45.5,4252.336448598131,Ready To Move
Super built-up  Area,Ready To Move,Kundalahalli,3.0,1724.0,3.0,2.0,125.0,7250.580046403712,Ready To Move
Super built-up  Area,Ready To Move,Chikkalasandra,3.0,1290.0,2.0,2.0,56.12,4350.387596899225,Ready To Move
Built-up  Area,Ready To Move,Uttarahalli,2.0,1143.0,2.0,2.0,45.0,3937.0078740157483,Ready To Move
Built-up  Area,Ready To Move,Murugeshpalya,2.0,1296.0,2.0,2.0,81.0,6250.0,Ready To Move
Super built-up  Area,19-Dec,Sarjapur  Road,3.0,1254.0,3.0,2.0,38.0,3030.3030303030305,Upcoming
Super built-up  Area,Ready To Move,Ganga Nagar,1.0,600.0,1.0,0.0,38.0,6333.333333333333,Ready To Move
Plot  Area,Ready To Move,Yelahanka,1.0,660.0,1.0,0.0,48.0,7272.727272727273,Ready To Move
Super built-up  Area,19-Sep,Kanakpura Road,2.0,1330.74,2.0,2.0,91.79,6897.665960292769,Upcoming
